Média	Melhor		Média	Melhor		Média	Melhor
176,37	183		195,975	200		73,116	81
175,78	184		195,74	200		73,108	81
175,51	183		195,76	200		72,998	81
175,37	184		195,975	200		73,26	81
175,245	183		196	200		73,116	81
175,635	183		196,035	200		73,008	81
175,715	185		196,07	200		72,848	81
175,76	183		196,125	200		72,982	81
175,675	184		196,47	200		72,972	81
175,85	184		196,255	200		72,644	81
176,065	185		196,135	200		73,122	81
175,915	183		195,92	200		73,15	81
175,755	182		195,855	200		73,272	81
175,91	184		196,22	200		73,172	81
175,98	184		195,95	200		73,488	81
176,05	184		196,15	200		73,404	81
176,1	184		195,725	200		73,506	81
176,37	184		196,055	200		73,144	81
176,505	183		195,995	200		73,374	81
176,555	184		195,92	200		73,47	81
176,385	183		196,28	200		73,366	81
176,295	186		196,305	200		73,278	81
175,965	183		196,175	200		73,028	81
175,865	184		196,105	200		73,064	81
175,945	185		196,13	200		73,154	81
175,705	183		196,13	200		73,138	81
175,605	182		196,17	200		73,208	81
175,53	184		196,2	200		73,23	81
175,885	184		195,88	200		73,326	81
175,72	186		195,98	200		73,414	81
175,8	183		196,02	200		73,274	81
175,78	183		196,095	200		73,508	81
175,53	183		196,2	200		73,138	81
175,715	184		196,2	200		73,256	81
175,765	184		195,9	200		73,532	81
176,17	188		195,96	200		73,638	81
176,41	184		195,87	200		73,322	81
177,08	185		195,635	200		73,496	81
177,2	187		195,615	200		73,478	81
177,38	188		195,645	200		73,554	81
177,87	186		195,5	200		73,722	81
178,155	186		196,115	200		73,556	81
178,205	186		196,07	200		73,8	81
178,245	184		195,99	200		73,74	81
178,01	183		195,98	200		73,6	81
177,645	185		196,085	200		73,43	81
177,215	185		195,96	200		73,752	81
177,595	186		196,02	200		73,688	81
177,895	187		196,07	200		73,764	81
177,88	187		196,23	200		73,892	81
177,96	189		196,185	200		73,97	81
178,07	187		196,105	200		73,976	81
178,61	187		195,955	200		73,704	81
178,38	187		195,775	200		73,556	81
178,4	188		195,82	200		73,278	81
178,855	185		195,85	200		73,266	81
178,785	188		196,16	200		73,19	81
178,78	186		195,83	200		73,492	81
178,445	186		195,83	200		73,878	81
178,54	185		196,01	200		73,844	81
178,56	186		196,54	200		73,702	81
178,875	185		196,575	200		74,142	81
178,96	186		196,325	200		73,968	81
179,065	186		196,04	200		74,058	81
179,02	186		196,025	200		74,114	81
179,065	186		196,22	200		74,052	81
179,035	185		196,05	200		73,978	81
179,16	185		195,845	200		74,112	81
179,12	186		195,555	200		73,664	81
178,965	187		195,63	200		73,75	81
178,97	186		195,94	200		73,844	81
179,005	186		196,185	200		73,796	81
178,985	187		196,07	200		73,556	81
178,915	187		196,14	200		73,544	81
178,99	186		195,9	200		73,73	81
178,97	185		195,8	200		73,682	81
179,115	185		195,89	200		73,748	81
178,89	187		195,98	200		73,686	81
178,82	184		196,105	200		73,912	81
178,555	185		196,115	200		73,888	81
178,67	186		196,05	200		74,192	81
178,155	187		196,05	200		74,126	81
178,53	186		195,93	200		73,778	81
178,205	185		196,12	200		73,62	81
178,05	186		196,445	200		73,558	81
178,13	185		196,515	200		73,574	81
177,69	184		196,515	200		73,814	81
177,425	186		196,375	200		73,774	81
177,75	186		195,785	200		73,88	81
177,635	186		195,71	200		74,018	81
178,2	186		195,67	200		74,016	81
178,225	188		195,685	200		74,06	81
177,89	188		196,005	200		73,892	81
178,275	185		196,025	200		73,812	81
178,43	186		196,21	200		74,158	81
178,64	188		195,825	200		74,084	81
178,25	187		196,24	200		74,006	81
178,54	185		196,145	200		73,888	81
178,39	184		196,265	200		73,736	81
178,4	185		196,07	200		73,554	81
178,675	185		195,88	200		73,808	81
178,62	187		196,135	200		73,744	81
178,325	187		196,26	200		73,844	81
178,14	185		196,265	200		73,936	81
178,105	185		196,21	200		73,926	81
178,025	186		196,425	200		73,768	81
177,925	185		196,455	200		73,916	81
177,85	185		196,415	200		74,118	81
177,685	185		196,38	200		73,926	81
177,36	186		196,185	200		73,764	81
177,21	185		196,27	200		73,778	81
177,28	184		195,86	200		73,444	81
177,415	185		195,955	200		73,132	81
177,205	188		195,945	200		73,224	81
177,235	186		195,93	200		73,406	81
177,34	185		195,79	200		73,352	81
177,415	185		195,755	200		73,934	81
177,23	185		196,03	200		73,848	81
177,32	184		196,205	200		73,816	81
177,21	186		196,005	200		73,936	81
177,49	186		196,17	200		74,144	81
177,49	185		196,25	200		73,93	81
177,505	184		195,805	200		73,872	81
177,44	184		196,06	200		73,91	81
177,175	185		195,995	200		73,752	81
177,1	185		196,035	200		73,74	81
177,24	184		196,205	200		73,67	81
177,4	185		196,26	200		73,67	81
177,185	186		196,58	200		73,666	81
177,275	185		196,35	200		73,53	81
177,23	184		196,155	200		73,616	81
177,22	184		196,35	200		74,064	81
177,16	184		196,395	200		73,938	81
177,335	184		196,365	200		74,054	81
177,13	185		196,3	200		73,932	81
176,92	183		196,305	200		73,714	81
176,5	183		196,25	200		73,748	81
176,595	183		196,035	200		74,018	81
176,465	183		196,04	200		73,758	81
176,35	184		196,22	200		73,546	81
176,35	184		196,365	200		73,738	81
176,115	182		195,865	200		73,944	81
175,87	184		196	200		74,238	81
175,485	182		195,875	200		73,778	81
175,54	185		195,815	200		73,688	81
175,425	182		195,925	200		73,432	81
175,71	183		195,945	200		73,546	81
175,66	182		196,05	200		73,452	81
175,56	183		196,285	200		73,788	81
175,845	183		196,105	200		73,57	81
175,865	182		196,31	200		73,584	81
175,935	182		195,895	200		73,404	81
175,785	184		196,185	200		73,404	81
175,59	182		196,175	200		73,536	81
175,64	183		196,145	200		73,52	81
175,33	184		196,295	200		73,756	81
175,305	185		196,26	200		74,012	81
175,345	184		196,17	200		73,876	81
175,12	182		196,32	200		73,942	81
174,965	182		196,34	200		73,896	81
174,74	182		196,23	200		73,848	81
174,785	183		196,255	200		73,566	81
174,8	182		196,505	200		73,668	81
174,895	183		196,14	200		73,496	81
174,92	183		196,21	200		73,216	81
175,24	184		196,335	200		73,506	81
174,965	183		196,56	200		73,364	81
174,955	181		196,235	200		73,356	81
174,985	185		196,335	200		73,684	81
175,16	185		196,42	200		73,792	81
175,69	185		196,34	200		73,512	81
175,685	182		196,575	200		73,434	81
175,99	184		196,68	200		73,616	81
176,05	184		196,305	200		73,588	81
176,165	184		196,345	200		73,568	82
176,42	184		196,325	200		73,88	82
176,49	184		196,355	200		73,926	82
176,37	185		196,22	200		73,85	82
176,725	187		196,49	200		74,198	82
176,775	186		196,165	200		73,964	82
176,935	184		196,095	200		73,792	82
176,955	185		196,265	200		73,724	82
176,99	184		195,995	200		73,724	82
176,805	184		195,885	200		73,674	82
177,085	185		195,9	200		73,576	82
177,29	185		196,115	200		73,656	82
177,43	185		196,24	200		73,692	82
177,39	185		196,4	200		73,764	82
177,69	185		196,16	200		73,786	82
178,135	186		195,885	200		73,986	82
178,015	187		196,185	200		74,07	82
178,215	188		196,04	200		74,044	82
178,21	186		196,12	200		74,1	82
178,225	186		196,065	200		73,498	82
178,32	186		196,325	200		73,66	82
178,07	187		196,325	200		73,492	82
178,035	186		196,18	200		73,432	82
177,925	186		196,3	200		73,904	82
177,735	184		196,525	200		73,584	82
177,68	185		196,46	200		73,672	82
177,87	184		196,085	200		73,804	82
178,045	184		196,04	200		74,044	82
177,92	186		196,065	200		73,808	82
177,565	184		195,93	200		73,578	82
177,09	184		196,07	200		73,682	82
176,95	184		196,125	200		73,824	82
177,195	185		196,275	200		73,754	82
176,92	183		196,185	200		73,62	82
176,925	185		195,84	200		73,808	82
176,525	184		195,805	200		74,098	82
176,495	182		196,035	200		74,114	82
176,245	185		196,095	200		74,056	82
176,53	185		195,9	200		73,832	82
176,065	185		196,07	200		73,936	82
176,1	183		195,945	200		73,946	82
175,96	186		196,205	200		73,96	82
176,35	185		196,44	200		73,7	82
176,43	185		196,135	200		73,474	82
